timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2018/09/17 17:08:43,2007,Login,200,OK,Business Scenario 1-1,text,true,,12637,1732,7,7,1709,0,1330
2018/09/17 17:08:44,1856,Login,200,OK,Business Scenario 1-3,text,true,,66352,1686,8,8,1088,0,701
2018/09/17 17:08:44,1669,Login,200,OK,Business Scenario 1-4,text,true,,66350,1686,9,9,928,0,604
2018/09/17 17:08:43,2361,Login,200,OK,Business Scenario 1-2,text,true,,66355,1686,9,9,1465,0,1082
2018/09/17 17:08:44,1564,Login,200,OK,Business Scenario 1-5,text,true,,66357,1686,9,9,907,0,612
2018/09/17 17:08:45,656,Index Page,200,OK,Business Scenario 1-3,text,true,,79569,334,10,10,241,0,0
2018/09/17 17:08:45,801,Index Page,200,OK,Business Scenario 1-1,text,true,,79569,334,9,9,250,0,0
2018/09/17 17:08:46,682,Index Page,200,OK,Business Scenario 1-4,text,true,,82304,334,11,11,268,0,0
2018/09/17 17:08:44,1754,Login,200,OK,Business Scenario 1-6,text,true,,66354,1686,11,11,1043,0,610
2018/09/17 17:08:46,675,Index Page,200,OK,Business Scenario 1-5,text,true,,79577,334,12,12,255,0,0
2018/09/17 17:08:45,1646,Login,200,OK,Business Scenario 1-7,text,true,,66360,1686,12,12,946,0,603
2018/09/17 17:08:45,1634,Login,200,OK,Business Scenario 1-8,text,true,,66349,1686,13,13,912,0,605
2018/09/17 17:08:46,1283,Index Page,200,OK,Business Scenario 1-2,text,true,,81987,334,13,13,727,0,282
2018/09/17 17:08:46,671,Index Page,200,OK,Business Scenario 1-6,text,true,,79579,334,13,13,254,0,0
2018/09/17 17:08:46,716,Load Initial Calendar,200,OK,Business Scenario 1-4,text,true,,49826,1025,13,13,578,0,279
2018/09/17 17:08:46,864,Load Initial Calendar,200,OK,Business Scenario 1-3,text,true,,55366,1025,13,13,587,0,290
2018/09/17 17:08:46,853,Load Initial Calendar,200,OK,Business Scenario 1-1,text,true,,55366,1025,13,13,576,0,281
2018/09/17 17:08:45,1567,Login,200,OK,Business Scenario 1-9,text,true,,66351,1686,14,14,899,0,605
2018/09/17 17:08:46,673,Index Page,200,OK,Business Scenario 1-7,text,true,,79576,334,14,14,256,0,0
2018/09/17 17:08:47,255,Index Page Lazy Data,200,OK,Business Scenario 1-3,text,true,,7469,761,14,14,255,0,0
2018/09/17 17:08:47,271,Index Page Lazy Data,200,OK,Business Scenario 1-4,text,true,,7469,761,14,14,271,0,0
2018/09/17 17:08:47,258,Index Page Lazy Data,200,OK,Business Scenario 1-1,text,true,,7467,761,14,14,257,0,0
2018/09/17 17:08:46,859,Load Initial Calendar,200,OK,Business Scenario 1-5,text,true,,55366,1025,15,15,577,0,280
2018/09/17 17:08:47,589,Load Initial Calendar,200,OK,Business Scenario 1-2,text,true,,55366,1025,15,15,171,0,0
2018/09/17 17:08:46,1684,Login,200,OK,Business Scenario 1-10,text,true,,66354,1686,15,15,905,0,607
2018/09/17 17:08:47,303,Index Page Lazy Data,200,OK,Business Scenario 1-5,text,true,,7469,761,16,16,303,0,0
2018/09/17 17:08:47,271,Index Page Lazy Data,200,OK,Business Scenario 1-2,text,true,,7469,761,16,16,271,0,0
2018/09/17 17:08:47,701,Index Page,200,OK,Business Scenario 1-9,text,true,,79561,334,16,16,286,0,0
2018/09/17 17:08:47,968,Index Page,200,OK,Business Scenario 1-8,text,true,,79571,334,16,16,547,0,0
2018/09/17 17:08:47,853,Load Initial Calendar,200,OK,Business Scenario 1-6,text,true,,55366,1025,16,16,575,0,279
2018/09/17 17:08:46,1798,Login,200,OK,Business Scenario 1-11,text,true,,66363,1686,16,16,937,0,644
