timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2018/09/11 11:42:54,440,Daily Attendance Input,200,OK,Thread Group 1-42,text,true,,7469,1069,17,17,440,0,284
2018/09/11 11:42:54,251,Index Page Lazy Load,200,OK,Thread Group 1-46,text,true,,7469,763,17,17,251,0,0
2018/09/11 11:42:53,1313,Daily Attendance Start,200,OK,Thread Group 1-43,text,true,,104839,440,17,17,619,0,0
2018/09/11 11:42:54,453,Logout,200,OK,Thread Group 1-37,text,true,,3857,739,17,17,453,0,283
2018/09/11 11:42:54,200,Generate Daily report,200,OK,Thread Group 1-46,text,true,,13786,1082,16,16,200,0,0
2018/09/11 11:42:54,795,Index Page,200,OK,Thread Group 1-49,text,true,,79578,334,17,17,374,0,0
2018/09/11 11:42:53,1005,Load Initial Calendar,200,OK,Thread Group 1-47,text,true,,55374,1032,17,17,583,0,283
2018/09/11 11:42:54,943,Index Page,200,OK,Thread Group 1-50,text,true,,79557,334,17,17,391,0,0
2018/09/11 11:42:54,448,Logout,200,OK,Thread Group 1-38,text,true,,3858,739,17,17,448,0,278
2018/09/11 11:42:53,1710,Login,200,OK,Thread Group 1-51,text,true,,66356,1698,16,16,916,0,605
2018/09/11 11:42:54,439,Daily Attendance Input,200,OK,Thread Group 1-43,text,true,,7469,1069,16,16,439,0,283
2018/09/11 11:42:53,1274,Daily Attendance Start,200,OK,Thread Group 1-44,text,true,,104847,440,16,16,588,0,0
2018/09/11 11:42:54,232,Index Page Lazy Load,200,OK,Thread Group 1-47,text,true,,7469,763,16,16,232,0,0
2018/09/11 11:42:53,2169,Confirmation,200,OK,Thread Group 1-39,text,true,,165135,2734,16,16,916,0,0
2018/09/11 11:42:55,195,Generate Daily report,200,OK,Thread Group 1-47,text,true,,13787,1082,16,16,195,0,0
2018/09/11 11:42:54,995,Load Initial Calendar,200,OK,Thread Group 1-48,text,true,,55365,1032,16,16,578,0,281
2018/09/11 11:42:55,431,Daily Attendance Input,200,OK,Thread Group 1-44,text,true,,7469,1069,17,17,431,0,277
2018/09/11 11:42:53,1705,Login,200,OK,Thread Group 1-52,text,true,,66359,1698,17,17,905,0,603
2018/09/11 11:42:55,251,Index Page Lazy Load,200,OK,Thread Group 1-48,text,true,,7469,763,17,17,251,0,0
2018/09/11 11:42:54,1315,Daily Attendance Start,200,OK,Thread Group 1-45,text,true,,104848,440,17,17,623,0,0
2018/09/11 11:42:55,460,Logout,200,OK,Thread Group 1-39,text,true,,3860,739,17,17,460,0,283
2018/09/11 11:42:55,208,Generate Daily report,200,OK,Thread Group 1-48,text,true,,13787,1082,16,16,208,0,0
2018/09/11 11:42:54,1008,Load Initial Calendar,200,OK,Thread Group 1-50,text,true,,55366,1032,17,17,573,0,279
2018/09/11 11:42:54,1121,Login,200,OK,Thread Group 1-54,text,true,,12629,1744,17,17,889,0,605
2018/09/11 11:42:55,438,Daily Attendance Input,200,OK,Thread Group 1-45,text,true,,7469,1069,17,17,437,0,282
2018/09/11 11:42:54,1746,Login,200,OK,Thread Group 1-53,text,true,,66352,1698,17,17,933,0,612
2018/09/11 11:42:54,2161,Confirmation,200,OK,Thread Group 1-41,text,true,,165135,2734,17,17,918,0,0
2018/09/11 11:42:54,1477,Load Initial Calendar,200,OK,Thread Group 1-49,text,true,,55366,1032,17,17,580,0,281
2018/09/11 11:42:54,1621,Daily Attendance Start,200,OK,Thread Group 1-46,text,true,,104847,440,17,17,635,0,0
2018/09/11 11:42:55,1387,Index Page,200,OK,Thread Group 1-51,text,true,,79579,334,17,17,393,0,0
2018/09/11 11:42:56,545,Index Page Lazy Load,200,OK,Thread Group 1-50,text,true,,7472,763,18,18,544,0,0
2018/09/11 11:42:56,239,Index Page Lazy Load,200,OK,Thread Group 1-49,text,true,,7469,763,18,18,239,0,0
2018/09/11 11:42:56,455,Logout,200,OK,Thread Group 1-41,text,true,,3855,739,18,18,455,0,283
2018/09/11 11:42:55,1104,Index Page,200,OK,Thread Group 1-52,text,true,,79578,334,18,18,400,0,0
2018/09/11 11:42:56,190,Generate Daily report,200,OK,Thread Group 1-50,text,true,,11289,1082,17,17,190,0,0
2018/09/11 11:42:56,437,Daily Attendance Input,200,OK,Thread Group 1-46,text,true,,7469,1069,18,18,437,0,282
2018/09/11 11:42:56,930,Index Page,200,OK,Thread Group 1-54,text,true,,79577,334,18,18,373,0,0
2018/09/11 11:42:56,806,Index Page,200,OK,Thread Group 1-53,text,true,,79579,334,18,18,386,0,0
2018/09/11 11:42:56,345,Generate Daily report,200,OK,Thread Group 1-49,text,true,,13786,1082,18,18,345,0,0
2018/09/11 11:42:55,1741,Daily Attendance Start,200,OK,Thread Group 1-47,text,true,,104855,440,18,18,754,0,0
2018/09/11 11:42:55,1744,Login,200,OK,Thread Group 1-55,text,true,,66355,1698,18,18,940,0,614
2018/09/11 11:42:54,2602,Confirmation,200,OK,Thread Group 1-42,text,true,,165135,2734,18,18,872,0,0
2018/09/11 11:42:55,1548,Daily Attendance Start,200,OK,Thread Group 1-48,text,true,,104847,440,18,18,711,0,0
2018/09/11 11:42:56,998,Load Initial Calendar,200,OK,Thread Group 1-51,text,true,,55366,1032,19,19,581,0,283
2018/09/11 11:42:57,439,Daily Attendance Input,200,OK,Thread Group 1-47,text,true,,7469,1069,19,19,439,0,281
2018/09/11 11:42:55,1727,Login,200,OK,Thread Group 1-56,text,true,,66351,1698,19,19,938,0,622
2018/09/11 11:42:56,987,Load Initial Calendar,200,OK,Thread Group 1-52,text,true,,55358,1032,19,19,573,0,279
2018/09/11 11:42:57,312,Index Page Lazy Load,200,OK,Thread Group 1-51,text,true,,7469,763,19,19,312,0,0
2018/09/11 11:42:57,438,Daily Attendance Input,200,OK,Thread Group 1-48,text,true,,7469,1069,19,19,438,0,279
2018/09/11 11:42:57,236,Index Page Lazy Load,200,OK,Thread Group 1-52,text,true,,7469,763,20,20,236,0,0
2018/09/11 11:42:56,987,Load Initial Calendar,200,OK,Thread Group 1-53,text,true,,55358,1032,20,20,574,0,279
2018/09/11 11:42:56,994,Load Initial Calendar,200,OK,Thread Group 1-54,text,true,,55366,1032,20,20,577,0,281
2018/09/11 11:42:56,1241,Daily Attendance Start,200,OK,Thread Group 1-50,text,true,,104850,440,20,20,551,0,0
2018/09/11 11:42:55,2977,Confirmation,200,OK,Thread Group 1-43,text,true,,165151,2734,20,20,1155,0,0
2018/09/11 11:42:55,2538,Confirmation,200,OK,Thread Group 1-44,text,true,,165135,2734,20,20,979,0,0
2018/09/11 11:42:57,194,Generate Daily report,200,OK,Thread Group 1-52,text,true,,11288,1082,20,20,194,0,0
